stmtid,accountno,branch,custid,txncode,txnrefno,narration,txndate,valuedate,ccy,amount,lcyamount,excrate,ourref,systemid,override,inuser,indatetime,authuser,audatetime,userbranch
99062525.001,012104442240,01,444224,16,AT0102000001,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,5500,5500,0,920005000001,AT,,Online,02-Jan-25 22:08:46,Auto,02-Jan-25 22:08:46,BNK
99062525.002,920005000001,01,990099,16,AT0102000001,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,5500,5500,0,ATM:15001,AT,,Online,02-Jan-25 22:08:46,Auto,02-Jan-25 22:08:46,BNK
99068944.001,012100190492,01,19049,16,AT0102000002,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,6000,6000,0,920005000001,AT,,Online,02-Jan-25 22:08:47,Auto,02-Jan-25 22:08:47,BNK
99068944.002,920005000001,01,990099,16,AT0102000002,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,6000,6000,0,ATM:18001,AT,,Online,02-Jan-25 22:08:47,Auto,02-Jan-25 22:08:47,BNK
99146523.001,012100278612,01,27861,16,AT0102000003,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,6500,6500,0,920005000001,AT,,Online,02-Jan-25 22:08:47,Auto,02-Jan-25 22:08:47,BNK
99146523.002,920005000001,01,990099,16,AT0102000003,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,6500,6500,0,ATM:15001,AT,,Online,02-Jan-25 22:08:47,Auto,02-Jan-25 22:08:47,BNK
99048603.001,012104000625,01,400062,16,AT0102000004,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,7000,7000,0,920005000001,AT,,Online,02-Jan-25 22:08:47,Auto,02-Jan-25 22:08:47,BNK
99048603.002,920005000001,01,990099,16,AT0102000004,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,7000,7000,0,ATM:15001,AT,,Online,02-Jan-25 22:08:47,Auto,02-Jan-25 22:08:47,BNK
99088270.001,014500002978,01,297,16,AT0102000005,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,7500,7500,0,920005000001,AT,,Online,02-Jan-25 22:08:47,Auto,02-Jan-25 22:08:47,BNK
99088270.002,920005000001,01,990099,16,AT0102000005,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,7500,7500,0,ATM:12001,AT,,Online,02-Jan-25 22:08:47,Auto,02-Jan-25 22:08:47,BNK
99005083.001,014500002879,01,287,16,AT0102000006,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,8000,8000,0,920005000001,AT,,Online,02-Jan-25 22:08:47,Auto,02-Jan-25 22:08:47,BNK
99005083.002,920005000001,01,990099,16,AT0102000006,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,8000,8000,0,ATM:15001,AT,,Online,02-Jan-25 22:08:47,Auto,02-Jan-25 22:08:47,BNK
99079927.001,012101015373,01,101537,16,AT0102000007,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,8500,8500,0,920005000001,AT,,Online,02-Jan-25 22:08:47,Auto,02-Jan-25 22:08:47,BNK
99079927.002,920005000001,01,990099,16,AT0102000007,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,8500,8500,0,ATM:15001,AT,,Online,02-Jan-25 22:08:47,Auto,02-Jan-25 22:08:47,BNK
99115923.001,012106831822,01,683182,16,AT0102000008,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,9000,9000,0,920005000001,AT,,Online,02-Jan-25 22:08:47,Auto,02-Jan-25 22:08:47,BNK
99115923.002,920005000001,01,990099,16,AT0102000008,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,9000,9000,0,ATM:15001,AT,,Online,02-Jan-25 22:08:47,Auto,02-Jan-25 22:08:47,BNK
99195617.001,012104440511,01,444051,16,AT0102000009,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,9500,9500,0,920005000001,AT,,Online,02-Jan-25 22:08:47,Auto,02-Jan-25 22:08:47,BNK
99195617.002,920005000001,01,990099,16,AT0102000009,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,9500,9500,0,ATM:15001,AT,,Online,02-Jan-25 22:08:47,Auto,02-Jan-25 22:08:47,BNK
99021611.001,011801001894,01,100189,16,AT0102000010,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,10000,10000,0,920005000001,AT,,Online,02-Jan-25 22:08:47,Auto,02-Jan-25 22:08:47,BNK
99021611.002,920005000001,01,990099,16,AT0102000010,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,10000,10000,0,ATM:15001,AT,,Online,02-Jan-25 22:08:47,Auto,02-Jan-25 22:08:47,BNK
99204341.001,012104025405,01,402540,16,AT0102000011,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,10500,10500,0,920005000001,AT,,Online,02-Jan-25 22:08:47,Auto,02-Jan-25 22:08:47,BNK
99204341.002,920005000001,01,990099,16,AT0102000011,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,10500,10500,0,ATM:15001,AT,,Online,02-Jan-25 22:08:47,Auto,02-Jan-25 22:08:47,BNK
99159951.001,012104019766,01,401976,16,AT0102000012,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,11000,11000,0,920005000001,AT,,Online,02-Jan-25 22:08:48,Auto,02-Jan-25 22:08:48,BNK
99159951.002,920005000001,01,990099,16,AT0102000012,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,11000,11000,0,ATM:22001,AT,,Online,02-Jan-25 22:08:48,Auto,02-Jan-25 22:08:48,BNK
99107772.001,012106831177,01,683117,16,AT0102000013,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,11500,11500,0,920005000001,AT,,Online,02-Jan-25 22:08:48,Auto,02-Jan-25 22:08:48,BNK
99107772.002,920005000001,01,990099,16,AT0102000013,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,11500,11500,0,ATM:18001,AT,,Online,02-Jan-25 22:08:48,Auto,02-Jan-25 22:08:48,BNK
